Question,Answer,
 Q 1 - What of the following is the default value of an instance variable? A - null B - 0 C - Depends upon the type of variable D - Not assigned ,"
 C
Explaination
Instance variables are assigned default values based on their types. For example, int variable is assigned 0 and an object type variable is assigned null as default value.
",2
 Q 2 - What is the size of boolean variable? A - 8 bit B - 16 bit C - 32 bit D - not precisely defined ,"
 B
Explaination
The boolean data type can take either true or false, but its ""size"" isn't precisely defined.
",2
 Q 3 - What is the default value of short variable? A - 0.0 B - 0 C - null D - not defined ,"
 B
Explaination
short variable has default value of 0 if defined as an instance/static variable.
",2
 Q 4 - Which of the following is false about String? A - String is immutable. B - String can be created using new operator. C - String is a primary data type. D - None of the above. ,"
 C
Explaination
String is a object.
",2
 Q 5 - What is Encapsulation? A - Encapsulation is a technique to define different methods of same type. B - Encapsulation is the ability of an object to take on many forms. C -  Encapsulation is the technique of making the fields in a class private and providing access to the fields via public methods. D - None of the above. ,"
 C
Explaination
It is the technique of making the fields in a class private and providing access to the fields via public methods. If a field is declared private, it cannot be accessed by anyone outside the class, thereby hiding the fields within the class. Therefore encapsulation is also referred to as data hiding.
",2
 Q 6 - What is JIT compiler? A - JIT improves the runtime performance of computer programs based on bytecode. B - JIT is an application development framework. C - JIT is an implementation of the Java Virtual Machine which executes Java programs. D - None of the above. ,"
 A
Explaination
JIT, Just In-Time Compiler, improves the runtime performance of computer programs based on bytecode.
",2
" Q 7 - What is function overriding? A - If a subclass uses a method that is already provided by its parent class, it is known as Method Overriding. B - If a subclass provides a specific implementation of a method that is already provided by its parent class, it is known as Method Overriding. C - Both of the above. D - None of the above. ","
 B
Explaination
If a subclass provides a specific implementation of a method that is already provided by its parent class, it is known as Method Overriding.
",2
 Q 8 - What is Deserialization? A - Deserialization is the process of restoring state of an object from a byte stream. B - Serialization is the process of restoring state of an object from an object. C - Both of the above. D - None of the above. ,"
 A
Explaination
Deserialization is the process of restoring state of an object from a byte stream.
",2
 Q 9 - Can constructor be inherited? A - True. B - False. ,"
 B
Explaination
No, constructor cannot be inherited.
",2
" Q 10 - What is a marker interface? A - marker interface is an interface with no method. B - marker interface is an interface with single method, mark(). C - marker interface is an interface with single method, marker(). D - none of the above. ","
 A
Explaination
Marker interface is an interface with no method.
",2
 Q 1 - What is output for − 'search'. find('S') ? A - s B - -1 C - ‘ ‘ D - None of the above ,"
 B
Explanation
The method find() is case sensitive.
",1
 Q 2 - Name the python module which supports regular expressions. A - regex B - re C - pyre D - pyregex ,"
 B
Explanation
re is the module which supports regular expressions and is part of standard library.
We can import re module as − import re.
",1
" Q 3 - Name the error that doesn’t cause program to stop/end, but the output is not the desired result or is incorrect. A - Syntax error B - Runtime error C - Logical error D - All of the above ","
 C
Explanation
logical error doesn’t cause the program to stop/end, but the output is not the desired result or is incorrect.
",1
 Q 4 - What is output of following code − _x000D_ def func(n):_x000D_    if(n==1):_x000D_       return 1;_x000D_    else:_x000D_       return(n+func(n-1))_x000D_ print(func(4))_x000D_  A - 12 B - 10 C - 9 D - 11 ,"
 B
",1
" Q 5 - What is the output of the following code? _x000D_ def nprint(message, n):_x000D_ while(n > 0):_x000D_    print(message)_x000D_ n-=1_x000D_ nprint('z', 5)_x000D_  A - zzzz B - zzzzz C - Syntax Error D - Infinite Loop ","
 D
Explanation
Because decrementing condition of ‘n’ is not present in the while loop.
",1
 Q 6 - Guess the output − _x000D_ def main(): _x000D_    try: _x000D_       func() _x000D_       print(''print this after function call'') _x000D_    except ZeroDivisionError: _x000D_       print('Divided By Zero! Not Possible! ') _x000D_    except: _x000D_       print('Its an Exception!') _x000D_ def func(): _x000D_    print(1/0) _x000D_ main()_x000D_  A - ‘Its an Exception!’ B - ‘Divided By Zero! Not possible!’ C - ‘print this after function call’ followed by ‘Divided By Zero! Not Possible!’ D - ‘print this after function call’ followed by ‘Its an Exception!’ ,"
 B
Explanation
The function ‘func’ will not run because it contains an exception. So in try and expect block. The function called under try will not run and will move to except block which defines the type of exception present in the function ‘func’. Thus block of statements present in except ZeroDivisionError is printed.
",1
